Dystans (m),WysokoϾ (m)
0,1389.954956054688
10.478977904022793,1391.31005859375
20.957955808045586,1391.510620117188
31.43693371206838,1391.130615234375
41.91591161609117,1390.033813476562
52.39488952011396,1385.515502929688
62.87386742413676,1380.955444335938
73.35284532815955,1378.360595703125
83.83182323218234,1377.275756835938
94.31080113620514,1377.642822265625
104.78977904022793,1377.372436523438
115.26875694425073,1376.039184570312
125.74773484827352,1374.007568359375
136.22671275229632,1373.03173828125
146.7056906563191,1374.574340820312
157.1846685603419,1377.934326171875
167.6636464643647,1381.405029296875
178.1426243683875,1386.827270507812
188.62160227241029,1389.588134765625
199.10058017643306,1391.801513671875
209.57955808045585,1393.009399414062
220.05853598447865,1392.618408203125
230.53751388850145,1390.685791015625
241.01649179252425,1387.112426757812
251.49546969654705,1384.107421875
261.9744476005698,1384.785766601562
272.45342550459264,1388.577392578125
282.9324034086154,1393.208374023438
293.4113813126382,1397.622436523438
303.890359216661,1400.295776367188
314.3693371206838,1401.231567382812
324.8483150247066,1401.217163085938
335.3272929287294,1400.182739257812
345.80627083275215,1398.294189453125
356.285248736775,1395.430297851562
366.76422664079774,1389.676879882812
377.24320454482057,1382.215209960938
387.72218244884334,1376.234375
398.2011603528661,1367.471435546875
408.68013825688894,1355.465209960938
419.1591161609117,1346.650268554688
429.63809406493453,1339.707641601562
440.1170719689573,1333.092407226562
450.5960498729801,1326.934692382812
461.0750277770029,1320.986206054688
471.55400568102567,1316.145263671875
482.0329835850485,1312.99267578125
492.51196148907127,1311.043212890625
502.9909393930941,1309.916381835938
513.4699172971168,1309.352172851562
523.9488952011396,1308.983154296875
534.4278731051625,1308.284545898438
544.9068510091853,1306.776489257812
555.385828913208,1304.704467773438
565.8648068172308,1302.66845703125
576.3437847212537,1301.23583984375
586.8227626252764,1300.435424804688
597.3017405292992,1300.153686523438
607.780718433322,1300.15185546875
618.2596963373447,1300.342651367188
628.7386742413676,1300.51123046875
639.2176521453904,1300.0185546875
649.6966300494132,1298.737670898438
660.1756079534359,1296.960327148438
670.6545858574588,1295.045654296875
681.1335637614816,1293.145263671875
691.6125416655043,1290.99609375
702.0915195695271,1285.352905273438
712.57049747355,1266.099853515625
723.0494753775728,1238.84912109375
733.5284532815955,1216.169311523438
744.0074311856183,1198.23583984375
754.4864090896411,1183.142822265625
764.9653869936639,1158.515747070312
775.4443648976867,1134.463012695312
785.9233428017095,1115.626953125
796.4023207057322,1089.018432617188
806.881298609755,1055.294677734375
817.3602765137779,1028.883178710938
827.8392544178007,1017.806823730469
838.3182323218234,1012.671569824219
848.7972102258462,1006.138793945312
859.2761881298691,999.3341064453125
869.7551660338918,993.2040405273438
880.2341439379146,987.0771484375
890.7131218419374,980.3534545898438
901.1920997459601,969.6367797851562
911.671077649983,949.8635864257812
922.1500555540058,933.1732788085938
932.6290334580286,924.7988891601562
943.1080113620513,917.7237548828125
953.5869892660742,911.6177368164062
964.065967170097,906.0526123046875
974.5449450741197,901.7583618164062
985.0239229781425,898.2526245117188
995.5029008821654,894.9613037109375
1005.9818787861882,891.8295288085938
1016.4608566902109,889.3836059570312
1026.9398345942336,887.25048828125
1037.4188124982566,884.9837036132812
1047.8977904022793,880.3914184570312
1058.3767683063022,874.1210327148438
1068.855746210325,868.767578125
1079.3347241143476,863.0286254882812
1089.8137020183706,856.4916381835938
1100.2926799223933,852.3464965820312
1110.771657826416,848.296142578125
1121.250635730439,843.4193725585938
1131.7296136344617,839.2999267578125
1142.2085915384844,835.5366821289062
1152.6875694425073,833.0647583007812
1163.16654734653,830.5786743164062
1173.6455252505527,828.3117065429688
